CVE-2023-0045,1672794440.469,1682430297.262,111.52612028935185,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,4.7
CVE-2023-0050,1672758000.0,1678287600.0,64.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:N,8.7
CVE-2023-0052,1672817045.161,1674217388.018,16.20767195601852,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
CVE-2023-0053,1672817046.705,1677683749.817,56.32758231481481,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5
CVE-2023-0077,1672871399.166,1672877242.013,0.06762554398148148,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,6.5
CVE-2023-0083,1672889576.058,1678412662.877,63.92461596064815,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,4
CVE-2023-0084,1672894628.072,1677749722.201,56.193219085648145,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,7.2
CVE-2023-0085,1672895705.476,1677740474.196,56.07371203703703,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3
CVE-2023-0086,1672903273.144,1672903288.154,0.00017372685185185186,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,5.4
CVE-2023-0087,1672910034.793,1672910038.328,4.0914351851851855e-05,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:L/I:L/A:N,5.5
CVE-2023-0088,1672910086.096,1672910134.743,0.0005630439814814815,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8
CVE-2023-0089,1672913839.339,1678202845.544,61.2153495949074,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.8
CVE-2023-0090,1672913848.968,1678202856.914,61.215369745370374,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8
CVE-2023-0102,1672998602.31,1676449248.504,39.93803465277778,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,9.1
CVE-2023-0103,1672998604.019,1676449355.371,39.93925175925926,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5
CVE-2023-0104,1672998605.156,1677065104.68,47.06596671296296,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:N/A:H,9.3
CVE-2023-0113,1673047016.225,1673047356.918,0.003943206018518519,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3
CVE-2023-0114,1673047397.744,1673047457.736,0.0006943518518518518,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,3.3
CVE-2023-0118,1673238065.016,1695184767.756,254.01276319444443,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H,8
CVE-2023-0119,1673238209.547,1694499269.533,246.0770831712963,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4
CVE-2023-0120,1673241414.573,1693530111.685,234.82288324074077,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N,3.5
CVE-2023-0121,1673190000.0,1686063600.0,149.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,6.5
CVE-2023-0123,1673259108.371,1675346268.508,24.156946030092595,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8
CVE-2023-0124,1673259110.213,1675346355.11,24.157927048611114,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8
